wallet,timestamp,time_utc,side,outcome,price,size,market
wallet_8,1773959737.0,2026-03-19 22:35:37,SELL,Up,0.21,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959741.0,2026-03-19 22:35:41,BUY,Up,0.25,14.86817,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959741.0,2026-03-19 22:35:41,BUY,Up,0.25,11.89454,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959743.0,2026-03-19 22:35:43,SELL,Up,0.22,13.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959745.0,2026-03-19 22:35:45,SELL,Up,0.2,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959749.0,2026-03-19 22:35:49,BUY,Up,0.23,14.88239,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959749.0,2026-03-19 22:35:49,BUY,Up,0.22,11.91167,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959749.0,2026-03-19 22:35:49,SELL,Up,0.21,13.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959749.0,2026-03-19 22:35:49,SELL,Up,0.21,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959751.0,2026-03-19 22:35:51,BUY,Up,0.22,11.91167,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959753.0,2026-03-19 22:35:53,SELL,Up,0.19,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959755.0,2026-03-19 22:35:55,SELL,Up,0.19,9.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959755.0,2026-03-19 22:35:55,SELL,Up,0.19,14.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959755.0,2026-03-19 22:35:55,SELL,Up,0.19,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959757.0,2026-03-19 22:35:57,SELL,Up,0.16,12.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959757.0,2026-03-19 22:35:57,BUY,Up,0.19,11.92895,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959759.0,2026-03-19 22:35:59,BUY,Up,0.19,12.92303,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959759.0,2026-03-19 22:35:59,BUY,Up,0.21,14.89679,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959759.0,2026-03-19 22:35:59,BUY,Up,0.21,11.91744,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959759.0,2026-03-19 22:35:59,BUY,Up,0.19,12.92303,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959759.0,2026-03-19 22:35:59,SELL,Up,0.18,13.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959771.0,2026-03-19 22:36:11,SELL,Up,0.11402790697674418,86.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959771.0,2026-03-19 22:36:11,BUY,Up,0.16,15.92775,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959771.0,2026-03-19 22:36:11,SELL,Up,0.1312,72.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959775.0,2026-03-19 22:36:15,BUY,Up,0.12666666666666668,14.95412,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959777.0,2026-03-19 22:36:17,BUY,Up,0.10301176470588236,16.96372,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959777.0,2026-03-19 22:36:17,BUY,Up,0.09,14.97485,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959777.0,2026-03-19 22:36:17,BUY,Up,0.1,31.9352,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959777.0,2026-03-19 22:36:17,SELL,Up,0.09,88.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959777.0,2026-03-19 22:36:17,SELL,Up,0.0933909090909091,66.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959779.0,2026-03-19 22:36:19,BUY,Up,0.1,15.9676,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959779.0,2026-03-19 22:36:19,BUY,Up,0.1,14.96963,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959779.0,2026-03-19 22:36:19,BUY,Up,0.09,14.97485,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959779.0,2026-03-19 22:36:19,SELL,Up,0.07,31.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959783.0,2026-03-19 22:36:23,SELL,Up,0.08,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,SELL,Up,0.06,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,BUY,Up,0.07,44.95233,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,SELL,Up,0.06,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,SELL,Up,0.06,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,SELL,Up,0.07,16.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959787.0,2026-03-19 22:36:27,SELL,Up,0.06,16.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959799.0,2026-03-19 22:36:39,BUY,Up,0.05,16.99042,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959853.0,2026-03-19 22:37:33,BUY,Up,0.02,14.99856,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959853.0,2026-03-19 22:37:33,BUY,Up,0.02,22.9978,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959855.0,2026-03-19 22:37:35,BUY,Up,0.03,14.99683,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959855.0,2026-03-19 22:37:35,BUY,Up,0.02,14.99856,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959859.0,2026-03-19 22:37:39,SELL,Up,0.02,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959863.0,2026-03-19 22:37:43,SELL,Up,0.02,15.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959863.0,2026-03-19 22:37:43,SELL,Up,0.02,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959927.0,2026-03-19 22:38:47,BUY,Up,0.009,17.99965,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959929.0,2026-03-19 22:38:49,BUY,Up,0.009,17.99965,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959945.0,2026-03-19 22:39:05,BUY,Up,0.009,18.99963,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959949.0,2026-03-19 22:39:09,BUY,Up,0.009,17.99965,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959951.0,2026-03-19 22:39:11,BUY,Up,0.009,17.99965,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959973.0,2026-03-19 22:39:33,BUY,Up,0.001,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959977.0,2026-03-19 22:39:37,BUY,Up,0.001,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959981.0,2026-03-19 22:39:41,BUY,Up,0.001,19.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959987.0,2026-03-19 22:39:47,BUY,Up,0.001,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773959987.0,2026-03-19 22:39:47,BUY,Up,0.001,18.0,"Bitcoin Up or Down - March 19, 6:35PM-6:40PM ET"
wallet_8,1773960005.0,2026-03-19 22:40:05,SELL,Up,0.5,5.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960007.0,2026-03-19 22:40:07,SELL,Up,0.5,25.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960007.0,2026-03-19 22:40:07,SELL,Up,0.5,19.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960023.0,2026-03-19 22:40:23,SELL,Up,0.39211666666666667,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960023.0,2026-03-19 22:40:23,SELL,Up,0.4052222222222222,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960023.0,2026-03-19 22:40:23,SELL,Up,0.41,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960025.0,2026-03-19 22:40:25,SELL,Up,0.36,20.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960029.0,2026-03-19 22:40:29,SELL,Up,0.3,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960029.0,2026-03-19 22:40:29,SELL,Up,0.33,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960029.0,2026-03-19 22:40:29,SELL,Up,0.33,19.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960031.0,2026-03-19 22:40:31,SELL,Up,0.26,24.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960031.0,2026-03-19 22:40:31,SELL,Up,0.26,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960039.0,2026-03-19 22:40:39,BUY,Up,0.23,17.85887,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960039.0,2026-03-19 22:40:39,SELL,Up,0.23,38.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960039.0,2026-03-19 22:40:39,SELL,Up,0.22,19.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960045.0,2026-03-19 22:40:45,BUY,Up,0.26,18.82417,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960053.0,2026-03-19 22:40:53,BUY,Up,0.27,20.79605,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960063.0,2026-03-19 22:41:03,BUY,Up,0.33,17.78002,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960063.0,2026-03-19 22:41:03,BUY,Up,0.31,17.79412,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960063.0,2026-03-19 22:41:03,BUY,Up,0.31,19.77124,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960067.0,2026-03-19 22:41:07,BUY,Up,0.34,17.77341,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960069.0,2026-03-19 22:41:09,BUY,Up,0.37,18.74191,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960071.0,2026-03-19 22:41:11,BUY,Up,0.38,17.75022,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960073.0,2026-03-19 22:41:13,BUY,Up,0.4,17.7408,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960077.0,2026-03-19 22:41:17,BUY,Up,0.44,17.7268,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960091.0,2026-03-19 22:41:31,BUY,Up,0.46,19.69149,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960127.0,2026-03-19 22:42:07,SELL,Up,0.33,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960127.0,2026-03-19 22:42:07,BUY,Up,0.44,17.7268,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960127.0,2026-03-19 22:42:07,SELL,Up,0.36,20.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960165.0,2026-03-19 22:42:45,BUY,Up,0.44,17.7268,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960165.0,2026-03-19 22:42:45,BUY,Up,0.43878333333333336,17.72712,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960179.0,2026-03-19 22:42:59,BUY,Up,0.5,17.71875,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960179.0,2026-03-19 22:42:59,SELL,Down,0.48,28.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960181.0,2026-03-19 22:43:01,SELL,Up,0.47,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960191.0,2026-03-19 22:43:11,SELL,Down,0.4,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960191.0,2026-03-19 22:43:11,SELL,Down,0.42,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960195.0,2026-03-19 22:43:15,SELL,Down,0.3,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960195.0,2026-03-19 22:43:15,SELL,Down,0.34,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960199.0,2026-03-19 22:43:19,SELL,Down,0.27,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960201.0,2026-03-19 22:43:21,SELL,Down,0.23,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960203.0,2026-03-19 22:43:23,SELL,Down,0.20754444444444445,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960207.0,2026-03-19 22:43:27,BUY,Down,0.29,17.80923,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960233.0,2026-03-19 22:43:53,SELL,Down,0.13,22.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960235.0,2026-03-19 22:43:55,SELL,Down,0.08923809523809524,21.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960245.0,2026-03-19 22:44:05,BUY,Down,0.2,17.8848,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960245.0,2026-03-19 22:44:05,BUY,Down,0.21,17.87615,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960245.0,2026-03-19 22:44:05,BUY,Down,0.15,17.92685,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960247.0,2026-03-19 22:44:07,BUY,Down,0.26,22.78715,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960257.0,2026-03-19 22:44:17,BUY,Down,0.31,17.79412,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
