timestamp,type,outcome,price,size,market,title
1774056957,TRADE,Up,0.4500001173780953,2.981817,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.21000005835230157,2.227847,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.21,18.0,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.56,9.0,"Ethereum Up or Down - March 20, 9:30PM-9:45PM ET","Ethereum Up or Down - March 20, 9:30PM-9:45PM ET"
1774056957,TRADE,Down,0.57,17.0,"Ethereum Up or Down - March 20, 9:30PM-9:45PM ET","Ethereum Up or Down - March 20, 9:30PM-9:45PM ET"
1774056957,TRADE,Down,0.19000000444647797,13.493826,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.76,11.9002,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.45,5.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.1900000014727278,13.580242,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.19000002949031883,5.086415,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.190000014192746,9.864194,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Down,0.19000000174706028,28.619505,"Ethereum Up or Down - March 20, 9:35PM-9:40PM ET","Ethereum Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.45000001509606685,19.872726,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.45000001580459953,12.654544,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.45,45.2,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056957,TRADE,Up,0.4500000398320363,1.255271,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.47,40.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.46,45.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.46,21.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.46,35.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.47000001114226403,2.692451,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056955,TRADE,Up,0.4700000481818576,2.07547,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.52,101.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,10.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,10.79,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.55,99.45328,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,8.35,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,4.09,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54000008653468,4.391303,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,9.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,7.89,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,7.45,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,17.62,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,64.65,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,6.56,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.5400000404800045,10.869564,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,1.3,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,8.35,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,4.09,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54000008653468,4.391303,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,9.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,7.89,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056953,TRADE,Up,0.54,7.45,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,17.62,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,64.65,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,6.56,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.5400000404800045,10.869564,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056949,TRADE,Up,0.54,1.3,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056943,TRADE,Up,0.55,11.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056943,TRADE,Up,0.55,7.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056943,TRADE,Up,0.55,40.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056943,TRADE,Up,0.55,3.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056943,TRADE,Up,0.55,40.0,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
1774056941,TRADE,Up,0.53,24.88,"Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET","Bitcoin Up or Down - March 20, 9:35PM-9:40PM ET"
